798,17,846,17,846,45,798,45
435,51,629,51,629,79,435,79
797,60,846,60,846,68,797,68
791,68,841,68,841,78,791,78
157,121,846,120,846,146,157,148
215,149,254,149,357,149,488,148,613,148,738,151,777,152,777,174,738,173,613,170,488,170,357,171,254,171,215,171
189,177,231,178,342,177,475,180,635,177,748,175,791,174,791,198,748,199,635,201,475,204,342,201,231,202,189,201
150,209,846,206,846,232,151,235
196,237,235,237,397,242,483,240,634,235,739,236,778,235,778,258,739,259,635,258,482,263,397,265,235,260,196,260
174,271,219,271,355,266,497,269,592,266,750,265,795,263,795,289,750,290,592,292,497,295,356,292,219,297,174,297
168,300,207,300,343,299,476,298,644,302,781,300,820,301,821,323,781,323,644,324,476,320,344,321,208,322,168,323
222,331,264,331,341,329,464,329,603,328,719,333,762,334,762,358,719,357,603,353,464,354,341,354,264,355,222,356
203,363,248,362,332,361,475,360,595,360,727,360,773,360,773,387,727,386,595,387,475,387,332,388,249,389,203,389
213,396,259,396,388,394,502,394,648,393,773,395,819,395,819,422,774,421,648,420,502,421,389,421,259,422,213,423
182,433,224,432,361,435,465,429,623,428,751,426,793,425,794,449,751,450,623,452,465,453,361,460,225,456,182,457
674,463,691,462,737,462,763,461,784,461,822,461,846,462,846,480,821,480,785,480,764,479,737,480,691,480,674,481
